Date,Container,GCTI,HSI,CCFI,SCFI,IPI_TW,Retail sales index_EU,Retail value_CN,Export_ basemetals ,Import_chemical,Retail sales index_US,Container_SeasonIndex,Export_chemical,Import_ base metals ,Import_vegetable of products,WTI crude Oil,Export_ plastics
2011/1/1,530164083.3,87.5,733.43,1060.295,1109.845,92.85,96.6,15200,1240612.163,1109907,90.94743742,0.985259833,1173213.554,1620281,824751,89.51,805484
2011/2/1,442050146.3,88.1,834.925,1054.29,1075.9,79.02,97.6,13800,995734.304,991917,91.20203888,0.942536755,1227306.535,1325342,535624,89.37,741312
2011/3/1,458910901.1,88.7,880.695,1027.18,991.71,96.6,96.8,13600,1257473.888,1164161,91.60509465,0.942536755,1264016.861,1474812,742021,102.92,892948
2011/4/1,521655176,89.3,888.15,1005.88,1021.66,92.32,98.2,13600,1228518.598,1123924,91.72151967,0.942536755,1225712.722,1524629,752020,110.04,840145
2011/5/1,521870479.6,89.8,875.31,1010.53,1072.655,94.85,96.4,14700,1208753.467,1156190,91.34800663,1.062974702,1169127.717,1548946,1026051,101.25,829183
2011/6/1,530635299.4,90.2,851.905,998.98,1039.145,92.82,97.2,14600,1073014.045,1003088,91.92946305,1.062974702,870456.244,1320122,775891,96.25,724924
2011/7/1,526166118,90.5,775.06,982.13,1016.87,93.73,97.6,14400,1280848.205,1021970,91.9681369,1.062974702,953371.082,1266856,785945,97.19,897338
2011/8/1,520844989.3,90.8,669.01,987.245,1048.67,91.74,97.5,14700,1188578.75,1158009,91.6271083,1.008904507,1072695.763,1435000,739944,86.32,770781
2011/9/1,484694267.9,90.9,616.4,992.99,1020.38,86.38,97.7,15900,1147222.749,1129262,92.20832325,1.008904507,881024.874,1295776,769175,85.62,667151
2011/10/1,494560586.5,91.1,453.605,959.18,943.35,89.11,98.3,16500,1246833.402,1237055,93.24153371,1.008904507,1077808.359,1365788,677570,86.41,761717
2011/11/1,481736591.5,91.3,428.75,933.64,891.78,85.45,98,16100,1173040.524,891877,93.32485115,0.985259833,1036007.018,1331388,924304,97.07,759156
2011/12/1,465883225.4,91.4,400.17,905.52,856.64,85.19,98.1,17700,1128052.51,919672,93.05034638,0.985259833,979025.056,1321085,1064001,98.61,836833
2012/1/1,689942417.1,91.7,395.405,922.405,978.845,78.08,98.1,17200,1134464.917,900065,93.62658942,0.985259833,1125993.083,1196940,822448,100.15,654278
2012/2/1,644837026,92,376.14,943.48,967.97,84.12,98,16200,1095848.525,953958,94.65398612,0.942536755,1051771.269,1208488,721370,102.26,860586
2012/3/1,721740438.6,92.3,393.12,1047.23,1223.25,94.57,98.9,15700,1276965.691,983200,94.84367055,0.942536755,1301492.247,1372476,710447,106.15,878658
2012/4/1,840048569.7,92.6,413.005,1206.78,1421.55,91.46,97.6,15600,1253704.147,1004103,94.26869036,0.942536755,1038065.773,1431169,825851,103.28,811133
2012/5/1,906526843.5,92.8,451.115,1326.705,1445.41,94.52,98,16700,1229687.161,1027754,94.39757837,1.062974702,999512.372,1594980,846791,94.51,823750
2012/6/1,943162982.5,92.9,446.98,1315.03,1425.66,89.29,98.2,16600,1131557.225,1004421,93.41975747,1.062974702,1059742.477,1260026,663816,82.36,770084
2012/7/1,947372879.7,93,418.19,1310.495,1349.985,93.73,98.1,16300,1239355.964,1142069,93.97171449,1.062974702,994198.51,1476621,882368,87.89,877258
2012/8/1,969690342.8,93,398.09,1262.32,1363.41,94.56,98.4,16700,1006241.719,1019775,94.73040886,1.008904507,888337.648,1319958,817855,94.11,799084
2012/9/1,955855309.4,93.2,382.145,1226.535,1263.78,90.79,98,18200,1217890.53,1043346,95.38387187,1.008904507,1084001.536,1438759,973086,94.61,804861
2012/10/1,909802011.2,93.6,372,1182.715,1214.055,93.24,97.8,18900,1214003.098,1052122,95.09075035,1.008904507,1041758.433,1417479,824919,89.52,827917
2012/11/1,860151481.9,93.9,364.13,1152.85,1134.98,91.5,97.2,18500,1043330.516,775869,95.59610003,0.985259833,1014513.053,1091875,931072,86.69,766408
2012/12/1,859447165.1,94.3,351.7,1106.915,1141.63,89.69,97.9,20300,1170668.85,991843,95.86161752,0.985259833,1050359.056,1402482,961491,88.19,857228
2013/1/1,925917386.2,94.5,357.495,1123.785,1230.095,93.72,97.2,19300,1416346.7,1168284,96.4085634,0.985259833,1042104.366,1628720,889374,94.65,846803
2013/2/1,761347210.5,94.7,370.965,1144.55,1197.615,76.99,97.2,18100,1022272.109,789478,97.03550327,0.942536755,1001193.424,1258665,533596,95.3,636901
2013/3/1,839943452.6,94.8,382.35,1108.25,1151.47,94.27,97.7,17600,1442498.395,1139236,96.33448499,0.942536755,1252818.043,1540500,938510,93.12,878857
2013/4/1,865907095,94.9,387.53,1102.665,1101.64,92.27,97.1,17600,1244971.903,993809,96.51478984,0.942536755,925358.528,1336201,637175,92.02,810061
2013/5/1,900888985.5,95,398.09,1069.97,1009.48,96.85,98,18900,1327779.392,947472,97.17717435,1.062974702,969946.143,1146608,868583,94.72,956409
