Date,Handysize,CN_metal production,Australian thermal coal,Rock Phosphate,BPI,BHI,PPI_CN,PPI_US,Iron Ore,Soybeans,Corn,IMF_base metal index,BCI,WTI crude Oil,Wheat,BSI,Seasonindex
2011/2/1,29488365,5431,134.6244643,140,1811,767.5,107.23,116.2,187.18,566.05,292.9,234.6877,1588,89.37,348.12,1366.5,0.946791861
2011/3/1,32436994,5942,135.9712733,145,1745.5,661,107.31,118.3,169.36,552.75,290.54,221.3915,1341,102.92,316.75,1163,0.946791861
2011/4/1,32753938,5903,131.5255952,145,2078,748,106.82,120,179.33,556.58,319.27,226.9493,1744,110.04,336.12,1539,0.946791861
2011/5/1,33089991,6025,127.9628571,147,1531,789.5,106.79,121,177.05,556.8,307.86,218.5678,1568,101.25,355.28,1418,1.036276081
2011/6/1,33177120,5993,128.362013,155,1739,787.5,107.12,121,170.88,556.22,310.61,214.1875,1565,96.25,326.43,1399,1.036276081
2011/7/1,34141134,5930,128.9892857,161.88,1816,737,107.54,121.5,172.98,556.5,300.77,219.011,1859.5,97.19,303.88,1323.5,1.036276081
2011/8/1,32958032,5875,127.462013,182.5,1578,697,107.25,120.9,177.5,552.96,310.22,213.2956,1918,86.32,327.07,1270,1.005181678
2011/9/1,33379291,5670,130.5618506,182.5,1568,657,106.52,121.2,177.23,531.95,295.26,206.2663,1951,85.62,315.92,1282,1.005181678
2011/10/1,34635061,5467.3,127.9127551,188.75,1675.5,682,105,119.9,150.43,491.42,274.79,182.7927,3160.5,86.41,289.01,1442,1.005181678
2011/11/1,43882911,4988.3,122.7452922,195,1976,810,102.72,120,135.54,478.35,274.39,175.1795,3474,97.07,281.01,1568,1.013132637
2011/12/1,46403244,5216,118.1764286,195,1800,662.5,101.69,119.4,136.39,483.03,258.65,174.8944,3083,98.61,269.03,1379,1.013132637
2012/1/1,43445627,5673.3,123.0857143,195,1697,597,100.73,120.1,140.26,503.18,272.84,183.2152,3407.5,100.15,274.89,1194.5,1.013132637
